url_path,views_total,views_unique
/floneum/floneum,375,203
/floneum/floneum/tree/main/interfaces/kalosm,107,73
/floneum/floneum/tree/main,69,39
/floneum/floneum/tree/main/interfaces/kalosm/examples,53,32
/floneum/floneum/tree/main/interfaces,46,19
/floneum/floneum/releases/tag/v0.2.0,45,23
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,42,21
/floneum/floneum/tree/main/floneum/floneum,32,30
/floneum/floneum/issues,29,19
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,27,12
