label,correct,total,sampler_time,constraint_time,parser_time,transformer_time,trie_time,total_time,average_entropy,average_entropy_diff,average_tokenization_error,average_tokens_after_first_token_error,average_token_count,total_duration
all,43,432,67.566µs,84.213431ms,816.672µs,989.552596ms,1.762215ms,1.383330995s,4.018410559924521,5.185337707284996,0.41581796495091294,6.398503139213296,58.86921473791829,105538.471583682s
fast,22,216,60.721µs,903.713µs,637.511µs,1.016446894s,1.509565ms,1.315307521s,4.071077961815712,4.839906641490558,0,0,58.9283224253874,58482.518300009s
slow,21,216,77.129µs,200.58792ms,1.066941ms,951.984229ms,2.115139ms,1.478352287s,3.944840007292004,5.667866814367251,0.996669808356896,15.33650644046497,58.78664781652529,47055.953283673s
fast-smol-lm,2,27,63.713µs,380.163µs,548.517µs,425.460585ms,2.143862ms,556.825381ms,4.445635782219353,1.9784939850484882,0,0,63.951788605917855,7565.029620208s
slow-smol-lm,0,27,74.791µs,3.007697ms,950.488µs,445.488552ms,2.692176ms,601.997789ms,3.7581447188160713,2.0167184153394015,0.9972259709101814,15.646348777927725,64.48815414604888,8029.446511825s
fast-qwen1.5b,2,27,61.502µs,1.1127ms,704.422µs,970.674357ms,1.119067ms,1.372013812s,4.399114598213404,4.894658114051878,0,0,57.59577567370721,7535.099853539s
slow-qwen1.5b,3,27,84.425µs,13.260519ms,1.33464ms,941.691508ms,1.750026ms,1.476581078s,4.463969309706838,5.502490352022311,1,8.42763561924258,62.086386898669396,7213.098567444s
fast-qwen3b,5,27,66.001µs,1.15899ms,756.872µs,1.59233166s,1.150186ms,2.033902928s,3.2157604032363247,8.015274991986981,0,0,59.34633710541989,6829.846031566s
slow-qwen3b,4,27,87.076µs,18.475816ms,1.277772ms,1.39662712s,1.614278ms,1.906413426s,3.479112210487155,7.337289185189802,0.9959105779716467,22.21319520174482,59.50845147219193,6992.724445406s
fast-qwen7b,6,27,64.571µs,609.905µs,528.111µs,2.897719295s,696.58µs,3.214411732s,2.6922133147366076,13.588646212819643,0,0,43.97830474268416,6370.964052958s
slow-qwen7b,9,27,84.989µs,9.733092ms,884.96µs,2.827321745s,1.018482ms,3.209524002s,2.752335222691198,14.715666511595197,0.9890710382513661,10.452459016393442,45.20109289617486,5873.428922871s
fast-qwen0.5b,1,27,56.662µs,974.826µs,651.397µs,470.15813ms,1.410894ms,856.731254ms,4.077001416959797,3.4392985170811317,0,0,55.11435149654643,6697.924941452s
slow-qwen0.5b,1,27,70.228µs,15.394405ms,1.049121ms,422.919499ms,1.8994ms,848.991867ms,4.4733313325702495,3.3935407189196436,0.998990026511804,17.30968312081808,50.685014518368895,6724.864577878s
fast-llama1b,0,9,61.624µs,1.2812ms,800.849µs,744.339194ms,1.771457ms,1.119944925s,3.9268870760093053,3.7229092090811604,0,0,67.8421926910299,2696.82737849s
slow-llama1b,0,9,105.44µs,140.217574697s,1.825833ms,16.265368326s,432.962µs,156.823847513s,1.6983621614348672,472.94342993779645,1,6.2105263157894735,41.05263157894737,2979.653102751s
fast-llama3b,1,11,64.958µs,473.381µs,668.183µs,1.780319603s,1.130698ms,2.136205222s,4.05437087583938,7.7097103938724745,0,0,62.35890218156228,3035.547621003s
slow-llama3b,0,11,123.12µs,75.790616699s,1.780908ms,26.830576344s,339.349µs,102.951570625s,0.3907575914658252,845.7630885623803,1,2.923076923076923,36.53846153846154,1338.370418126s
fast-llama8b,5,26,61.731µs,992.385µs,362.76µs,17.531340412s,226.704µs,17.733664487s,2.4483022756505837,63.69493147233094,0,0,34.582309582309584,7217.601446124s
slow-llama8b,4,26,65.638µs,15.531328983s,571.318µs,34.967671591s,160.021µs,50.669017547s,2.3260886793759656,166.1898545237134,0.8333333333333334,2.75,25.756410256410255,7904.366737372s
fast-qwen1.5b-think,0,0,0ns,0ns,0ns,0ns,0ns,0ns,0,0,0,0,0,0ns
slow-qwen1.5b-think,0,0,0ns,0ns,0ns,0ns,0ns,0ns,0,0,0,0,0,0ns
fast-qwen7b-think,0,0,0ns,0ns,0ns,0ns,0ns,0ns,0,0,0,0,0,0ns
slow-qwen7b-think,0,0,0ns,0ns,0ns,0ns,0ns,0ns,0,0,0,0,0,0ns
