label,correct,total,sampler_time,constraint_time,parser_time,transformer_time,trie_time,total_time,average_entropy,average_entropy_diff,average_tokenization_error,average_tokens_after_first_token_error,average_token_count,total_duration
all,46,432,0,68,0,758,2,1105,3.972669113000035,4.497849924675394,0.39830167597765365,6.29991061452514,58.759664804469274,98903804
fast,24,216,0,1,0,793,1,1061,3.9902210260972404,4.004741600925484,0,0,58.68087838466549,57023857
slow,22,216,0,170,1,704,2,1170,3.9462983021436413,5.238718812602517,0.9967286453236405,15.765189431007968,58.87803718719418,41879946
fast-smol-lm,2,27,0,0,0,441,2,558,4.4477626614996035,1.9834577391578618,0,0,63.88614226682409,7565726
slow-smol-lm,0,27,0,2,0,461,3,601,3.781946933136905,2.0130961263800735,0.9972309534500823,15.777054333183655,64.60791797635085,8031298
fast-qwen1.5b,2,27,0,1,0,823,1,1162,4.402232071290953,4.158015171063277,0,0,58.60696055684455,7515779
slow-qwen1.5b,3,27,0,12,1,773,2,1221,4.470929171254108,4.556651352653259,1,8.642820817087642,63.0301746058654,7205823
fast-qwen3b,6,27,0,1,0,1373,1,1761,3.1859501898121545,7.0091914856131785,0,0,60.2375,6764319
slow-qwen3b,4,27,0,20,1,1186,2,1670,3.501821853078927,6.444750873675445,0.9964080459770115,22.759578544061302,60.52921455938697,6974170
fast-qwen7b,6,27,0,0,0,1636,1,1955,2.804227219316696,8.30999878829395,0,0,46.9040419623573,6337910
slow-qwen7b,9,27,0,9,1,1463,1,1854,2.837189704804265,8.740194757035644,0.9935086011035378,14.72022070756248,48.58130477117819,5712962
fast-qwen0.5b,1,27,0,0,0,449,1,770,4.076934174723522,3.1020346041976663,0,0,55.642939547761884,6681238
slow-qwen0.5b,1,27,0,15,1,400,2,756,4.472930337813021,3.032536862330703,0.9988718411552346,18.03474729241877,51.43716155234657,6701397
fast-llama1b,0,16,0,0,0,591,2,897,3.7027909340657432,2.9856620949485557,0,0,62.98464131859899,4793031
slow-llama1b,0,16,0,47561,1,4121,0,51947,2.7657109168635707,241.7199636756474,1,10.727272727272727,40.59090909090909,3428527
fast-llama3b,1,11,0,0,0,1277,1,1602,4.09744479272459,5.815041808756845,0,0,65.5323779193206,3018299
slow-llama3b,0,11,0,33699,0,9140,0,43067,0.6305742124997364,785.083711501786,1,2.857142857142857,37.214285714285715,602941
fast-llama8b,6,26,0,2,0,1577,0,1815,2.9837077874538918,7.910162244887517,0,0,45.73909063167531,5948203
slow-llama8b,5,26,0,6976,0,3511,0,10636,3.3879988829682706,85.53526586312401,0.8844884488448845,3.432343234323432,29.963696369636963,3222825
fast-qwen1.5b-think,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slow-qwen1.5b-think,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast-qwen7b-think,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slow-qwen7b-think,0,0,0,0,0,0,0,0,0,0,0,0,0,0
